non_inclusive_term,inclusive_alternatives,note
pussypounder,,This is a profanity and should not be used
pusy,,This is a profanity and should not be used
quashie,,This is a profanity and should not be used
que,,This is a profanity and should not be used
queef,,This is a profanity and should not be used
queer,,This is a profanity and should not be used
quickie,,This is a profanity and should not be used
quim,,This is a profanity and should not be used
ra8s,,This is a profanity and should not be used
rabbi,,This is a profanity and should not be used
racial,,This is a profanity and should not be used
racist,,This is a profanity and should not be used
radical,,This is a profanity and should not be used
radicals,,This is a profanity and should not be used
raghead,,This is a profanity and should not be used
ragheads,,This is a profanity and should not be used
randy,,This is a profanity and should not be used
rape,,This is a profanity and should not be used
raped,,This is a profanity and should not be used
raper,,This is a profanity and should not be used
rapist,,This is a profanity and should not be used
rearend,,This is a profanity and should not be used
rearentry,,This is a profanity and should not be used
rectum,,This is a profanity and should not be used
redleg,,This is a profanity and should not be used
redlegs,,This is a profanity and should not be used
redlight,,This is a profanity and should not be used
redneck,,This is a profanity and should not be used
rednecks,,This is a profanity and should not be used
redskin,,This is a profanity and should not be used
redskins,,This is a profanity and should not be used
reefer,,This is a profanity and should not be used
reestie,,This is a profanity and should not be used
refugee,,This is a profanity and should not be used
reject,,This is a profanity and should not be used
remains,,This is a profanity and should not be used
rentafuck,,This is a profanity and should not be used
republican,,This is a profanity and should not be used
rere,,This is a profanity and should not be used
retard,,This is a profanity and should not be used
retarded,,This is a profanity and should not be used
ribbed,,This is a profanity and should not be used
rigger,,This is a profanity and should not be used
rimjob,,This is a profanity and should not be used
rimming,,This is a profanity and should not be used
roach,,This is a profanity and should not be used
robber,,This is a profanity and should not be used
round eyes,,This is a profanity and should not be used
roundeye,,This is a profanity and should not be used
rump,,This is a profanity and should not be used
russki,,This is a profanity and should not be used
russkie,,This is a profanity and should not be used
sadis,,This is a profanity and should not be used
sadom,,This is a profanity and should not be used
sambo,,This is a profanity and should not be used
sambos,,This is a profanity and should not be used
samckdaddy,,This is a profanity and should not be used
sand nigger,,This is a profanity and should not be used
sand niggers,,This is a profanity and should not be used
sandm,,This is a profanity and should not be used
sandnigger,,This is a profanity and should not be used
satan,,This is a profanity and should not be used
scag,,This is a profanity and should not be used
scallywag,,This is a profanity and should not be used
scat,,This is a profanity and should not be used
schlong,,This is a profanity and should not be used
schvartse,,This is a profanity and should not be used
schvartsen,,This is a profanity and should not be used
schwartze,,This is a profanity and should not be used
schwartzen,,This is a profanity and should not be used
screw,,This is a profanity and should not be used
screwyou,,This is a profanity and should not be used
scrotum,,This is a profanity and should not be used
scum,,This is a profanity and should not be used
semen,,This is a profanity and should not be used
seppo,,This is a profanity and should not be used
seppos,,This is a profanity and should not be used
septic,,This is a profanity and should not be used
septics,,This is a profanity and should not be used
servant,,This is a profanity and should not be used
sex,,This is a profanity and should not be used
sexed,,This is a profanity and should not be used
sexfarm,,This is a profanity and should not be used
sexhound,,This is a profanity and should not be used
sexhouse,,This is a profanity and should not be used
sexing,,This is a profanity and should not be used
sexkitten,,This is a profanity and should not be used
sexpot,,This is a profanity and should not be used
sexslave,,This is a profanity and should not be used
sextogo,,This is a profanity and should not be used
sextoy,,This is a profanity and should not be used
sextoys,,This is a profanity and should not be used
sexual,,This is a profanity and should not be used
sexually,,This is a profanity and should not be used
sexwhore,,This is a profanity and should not be used
sexy,,This is a profanity and should not be used
sexymoma,,This is a profanity and should not be used
sexyslim,,This is a profanity and should not be used
shag,,This is a profanity and should not be used
shaggin,,This is a profanity and should not be used
shagging,,This is a profanity and should not be used
shat,,This is a profanity and should not be used
shav,,This is a profanity and should not be used
shawtypimp,,This is a profanity and should not be used
sheeney,,This is a profanity and should not be used
shhit,,This is a profanity and should not be used
shiksa,,This is a profanity and should not be used
shinola,,This is a profanity and should not be used
shit,,This is a profanity and should not be used
shitcan,,This is a profanity and should not be used
shitdick,,This is a profanity and should not be used
shite,,This is a profanity and should not be used
shiteater,,This is a profanity and should not be used
shited,,This is a profanity and should not be used
shitface,,This is a profanity and should not be used
shitfaced,,This is a profanity and should not be used
shitfit,,This is a profanity and should not be used
shitforbrains,,This is a profanity and should not be used
shitfuck,,This is a profanity and should not be used
shitfucker,,This is a profanity and should not be used
shitfull,,This is a profanity and should not be used
shithapens,,This is a profanity and should not be used
shithappens,,This is a profanity and should not be used
shithead,,This is a profanity and should not be used
shithouse,,This is a profanity and should not be used
shiting,,This is a profanity and should not be used
shitlist,,This is a profanity and should not be used
shitola,,This is a profanity and should not be used
shitoutofluck,,This is a profanity and should not be used
shits,,This is a profanity and should not be used
shitstain,,This is a profanity and should not be used
shitted,,This is a profanity and should not be used
shitter,,This is a profanity and should not be used
shitting,,This is a profanity and should not be used
shitty,,This is a profanity and should not be used
shoot,,This is a profanity and should not be used
shooting,,This is a profanity and should not be used
shortfuck,,This is a profanity and should not be used
showtime,,This is a profanity and should not be used
shylock,,This is a profanity and should not be used
shylocks,,This is a profanity and should not be used
sick,,This is a profanity and should not be used
sissy,,This is a profanity and should not be used
sixsixsix,,This is a profanity and should not be used
sixtynine,,This is a profanity and should not be used
sixtyniner,,This is a profanity and should not be used
skank,,This is a profanity and should not be used
skankbitch,,This is a profanity and should not be used
skankfuck,,This is a profanity and should not be used
skankwhore,,This is a profanity and should not be used
skanky,,This is a profanity and should not be used
skankybitch,,This is a profanity and should not be used
skankywhore,,This is a profanity and should not be used
skinflute,,This is a profanity and should not be used
skum,,This is a profanity and should not be used
skumbag,,This is a profanity and should not be used
skwa,,This is a profanity and should not be used
skwe,,This is a profanity and should not be used
slant,,This is a profanity and should not be used
slanteye,,This is a profanity and should not be used
slanty,,This is a profanity and should not be used
slapper,,This is a profanity and should not be used
slaughter,,This is a profanity and should not be used
slav,,This is a profanity and should not be used
slave,,This is a profanity and should not be used
slavedriver,,This is a profanity and should not be used
sleezebag,,This is a profanity and should not be used
sleezeball,,This is a profanity and should not be used
slideitin,,This is a profanity and should not be used
slime,,This is a profanity and should not be used
slimeball,,This is a profanity and should not be used
slimebucket,,This is a profanity and should not be used
slope,,This is a profanity and should not be used
slopehead,,This is a profanity and should not be used
slopeheads,,This is a profanity and should not be used
sloper,,This is a profanity and should not be used
slopers,,This is a profanity and should not be used
slopes,,This is a profanity and should not be used
slopey,,This is a profanity and should not be used
slopeys,,This is a profanity and should not be used
slopies,,This is a profanity and should not be used
slopy,,This is a profanity and should not be used
slut,,This is a profanity and should not be used
sluts,,This is a profanity and should not be used
slutt,,This is a profanity and should not be used
slutting,,This is a profanity and should not be used
slutty,,This is a profanity and should not be used
slutwear,,This is a profanity and should not be used
slutwhore,,This is a profanity and should not be used
smack,,This is a profanity and should not be used
smackthemonkey,,This is a profanity and should not be used
smut,,This is a profanity and should not be used
snatch,,This is a profanity and should not be used
snatchpatch,,This is a profanity and should not be used
snigger,,This is a profanity and should not be used
sniggered,,This is a profanity and should not be used
sniggering,,This is a profanity and should not be used
sniggers,,This is a profanity and should not be used
sniper,,This is a profanity and should not be used
snot,,This is a profanity and should not be used
snowback,,This is a profanity and should not be used
snownigger,,This is a profanity and should not be used
sob,,This is a profanity and should not be used
sodom,,This is a profanity and should not be used
sodomise,,This is a profanity and should not be used
sodomite,,This is a profanity and should not be used
sodomize,,This is a profanity and should not be used
sodomy,,This is a profanity and should not be used
sonofabitch,,This is a profanity and should not be used
sonofbitch,,This is a profanity and should not be used
sooties,,This is a profanity and should not be used
sooty,,This is a profanity and should not be used
sos,,This is a profanity and should not be used
soviet,,This is a profanity and should not be used
spa,,This is a profanity and should not be used
spade,,This is a profanity and should not be used
spades,,This is a profanity and should not be used
spaghettibender,,This is a profanity and should not be used
spaghettinigger,,This is a profanity and should not be used
spank,,This is a profanity and should not be used
spankthemonkey,,This is a profanity and should not be used
spearchucker,,This is a profanity and should not be used
spearchuckers,,This is a profanity and should not be used
sperm,,This is a profanity and should not be used
spermacide,,This is a profanity and should not be used
spermbag,,This is a profanity and should not be used
spermhearder,,This is a profanity and should not be used
spermherder,,This is a profanity and should not be used
spic,,This is a profanity and should not be used
spick,,This is a profanity and should not be used
spicks,,This is a profanity and should not be used
spics,,This is a profanity and should not be used
spig,,This is a profanity and should not be used
spigotty,,This is a profanity and should not be used
spik,,This is a profanity and should not be used
spit,,This is a profanity and should not be used
spitter,,This is a profanity and should not be used
splittail,,This is a profanity and should not be used
spooge,,This is a profanity and should not be used
spreadeagle,,This is a profanity and should not be used
spunk,,This is a profanity and should not be used
spunky,,This is a profanity and should not be used
sqeh,,This is a profanity and should not be used
squa,,This is a profanity and should not be used
squarehead,,This is a profanity and should not be used
squareheads,,This is a profanity and should not be used
squaw,,This is a profanity and should not be used
squinty,,This is a profanity and should not be used
stagg,,This is a profanity and should not be used
stiffy,,This is a profanity and should not be used
strapon,,This is a profanity and should not be used
stringer,,This is a profanity and should not be used
stripclub,,This is a profanity and should not be used
stroke,,This is a profanity and should not be used
stroking,,This is a profanity and should not be used
stuinties,,This is a profanity and should not be used
stupid,,This is a profanity and should not be used
stupidfuck,,This is a profanity and should not be used
stupidfucker,,This is a profanity and should not be used
suck,,This is a profanity and should not be used
suckdick,,This is a profanity and should not be used
sucker,,This is a profanity and should not be used
suckme,,This is a profanity and should not be used
suckmyass,,This is a profanity and should not be used
suckmydick,,This is a profanity and should not be used
suckmytit,,This is a profanity and should not be used
suckoff,,This is a profanity and should not be used
suicide,,This is a profanity and should not be used
swallow,,This is a profanity and should not be used
swallower,,This is a profanity and should not be used
swalow,,This is a profanity and should not be used
swamp guinea,,This is a profanity and should not be used
swamp guineas,,This is a profanity and should not be used
swastika,,This is a profanity and should not be used
sweetness,,This is a profanity and should not be used
syphilis,,This is a profanity and should not be used
taboo,,This is a profanity and should not be used
tacohead,,This is a profanity and should not be used
tacoheads,,This is a profanity and should not be used
taff,,This is a profanity and should not be used
tampon,,This is a profanity and should not be used
tang,,This is a profanity and should not be used
tantra,,This is a profanity and should not be used
tar babies,,This is a profanity and should not be used
tar baby,,This is a profanity and should not be used
tarbaby,,This is a profanity and should not be used
tard,,This is a profanity and should not be used
teat,,This is a profanity and should not be used
terror,,This is a profanity and should not be used
terrorist,,This is a profanity and should not be used
teste,,This is a profanity and should not be used
testicle,,This is a profanity and should not be used
testicles,,This is a profanity and should not be used
thicklip,,This is a profanity and should not be used
thicklips,,This is a profanity and should not be used
thirdeye,,This is a profanity and should not be used
thirdleg,,This is a profanity and should not be used
threesome,,This is a profanity and should not be used
threeway,,This is a profanity and should not be used
timber nigger,,This is a profanity and should not be used
timber niggers,,This is a profanity and should not be used
timbernigger,,This is a profanity and should not be used
tinker,,This is a profanity and should not be used
tinkers,,This is a profanity and should not be used
tinkle,,This is a profanity and should not be used
tit,,This is a profanity and should not be used
titbitnipply,,This is a profanity and should not be used
titfuck,,This is a profanity and should not be used
titfucker,,This is a profanity and should not be used
titfuckin,,This is a profanity and should not be used
titjob,,This is a profanity and should not be used
titlicker,,This is a profanity and should not be used
titlover,,This is a profanity and should not be used
tits,,This is a profanity and should not be used
tittie,,This is a profanity and should not be used
titties,,This is a profanity and should not be used
titty,,This is a profanity and should not be used
tnt,,This is a profanity and should not be used
toilet,,This is a profanity and should not be used
tongethruster,,This is a profanity and should not be used
tongue,,This is a profanity and should not be used
tonguethrust,,This is a profanity and should not be used
tonguetramp,,This is a profanity and should not be used
tortur,,This is a profanity and should not be used
torture,,This is a profanity and should not be used
tosser,,This is a profanity and should not be used
towel head,,This is a profanity and should not be used
towel heads,,This is a profanity and should not be used
towelhead,,This is a profanity and should not be used
trailertrash,,This is a profanity and should not be used
tramp,,This is a profanity and should not be used
trannie,,This is a profanity and should not be used
tranny,,This is a profanity and should not be used
transexual,,This is a profanity and should not be used
transsexual,,This is a profanity and should not be used
transvestite,,This is a profanity and should not be used
trap,,This is a profanity and should not be used
triplex,,This is a profanity and should not be used
trisexual,,This is a profanity and should not be used
trojan,,This is a profanity and should not be used
trots,,This is a profanity and should not be used
tuckahoe,,This is a profanity and should not be used
tunneloflove,,This is a profanity and should not be used
turd,,This is a profanity and should not be used
turnon,,This is a profanity and should not be used
twat,,This is a profanity and should not be used
twink,,This is a profanity and should not be used
twinkie,,This is a profanity and should not be used
twobitwhore,,This is a profanity and should not be used
uck,,This is a profanity and should not be used
uk,,This is a profanity and should not be used
ukrop,,This is a profanity and should not be used
uncle tom,,This is a profanity and should not be used
unfuckable,,This is a profanity and should not be used
upskirt,,This is a profanity and should not be used
uptheass,,This is a profanity and should not be used
upthebutt,,This is a profanity and should not be used
urinary,,This is a profanity and should not be used
urinate,,This is a profanity and should not be used
urine,,This is a profanity and should not be used
usama,,This is a profanity and should not be used
uterus,,This is a profanity and should not be used
vagina,,This is a profanity and should not be used
vaginal,,This is a profanity and should not be used
vatican,,This is a profanity and should not be used
vibr,,This is a profanity and should not be used
vibrater,,This is a profanity and should not be used
vibrator,,This is a profanity and should not be used
vietcong,,This is a profanity and should not be used
violence,,This is a profanity and should not be used
virgin,,This is a profanity and should not be used
virginbreaker,,This is a profanity and should not be used
vomit,,This is a profanity and should not be used
vulva,,This is a profanity and should not be used
wab,,This is a profanity and should not be used
wank,,This is a profanity and should not be used
wanker,,This is a profanity and should not be used
wanking,,This is a profanity and should not be used
waysted,,This is a profanity and should not be used
weapon,,This is a profanity and should not be used
weenie,,This is a profanity and should not be used
weewee,,This is a profanity and should not be used
welcher,,This is a profanity and should not be used
welfare,,This is a profanity and should not be used
wetb,,This is a profanity and should not be used
wetback,,This is a profanity and should not be used
wetbacks,,This is a profanity and should not be used
wetspot,,This is a profanity and should not be used
whacker,,This is a profanity and should not be used
whash,,This is a profanity and should not be used
whigger,,This is a profanity and should not be used
whiggers,,This is a profanity and should not be used
whiskey,,This is a profanity and should not be used
whiskeydick,,This is a profanity and should not be used
whiskydick,,This is a profanity and should not be used
whit,,This is a profanity and should not be used
white trash,,This is a profanity and should not be used
whitenigger,,This is a profanity and should not be used
whites,,This is a profanity and should not be used
whitetrash,,This is a profanity and should not be used
whitey,,This is a profanity and should not be used
whiteys,,This is a profanity and should not be used
whities,,This is a profanity and should not be used
whiz,,This is a profanity and should not be used
whop,,This is a profanity and should not be used
whore,,This is a profanity and should not be used
whorefucker,,This is a profanity and should not be used
whorehouse,,This is a profanity and should not be used
wigga,,This is a profanity and should not be used
wiggas,,This is a profanity and should not be used
wigger,,This is a profanity and should not be used
wiggers,,This is a profanity and should not be used
willie,,This is a profanity and should not be used
williewanker,,This is a profanity and should not be used
willy,,This is a profanity and should not be used
wn,,This is a profanity and should not be used
wog,,This is a profanity and should not be used
wogs,,This is a profanity and should not be used
womens,,This is a profanity and should not be used
wop,,This is a profanity and should not be used
wtf,,This is a profanity and should not be used
wuss,,This is a profanity and should not be used
wuzzie,,This is a profanity and should not be used
xkwe,,This is a profanity and should not be used
xtc,,This is a profanity and should not be used
xxx,,This is a profanity and should not be used
yank,,This is a profanity and should not be used
yankee,,This is a profanity and should not be used
yankees,,This is a profanity and should not be used
yanks,,This is a profanity and should not be used
yarpie,,This is a profanity and should not be used
yarpies,,This is a profanity and should not be used
yellowman,,This is a profanity and should not be used
yid,,This is a profanity and should not be used
yids,,This is a profanity and should not be used
zigabo,,This is a profanity and should not be used
zigabos,,This is a profanity and should not be used
zipperhead,,This is a profanity and should not be used
zipperheads,,This is a profanity and should not be used
master,"primary, lead, hub, reference","Avoid using the term `master`; these suggestions are for the computer term, but there are better alternatives for other cases too"
masters,"primaries, hubs, references","Avoid using the term `master`; these suggestions are for the computer term, but there are better alternatives for other cases too"
slave,"secondary, worker, replica, node","Avoid using the term `slave`; these suggestions are for the computer term, but there are better alternatives for other cases too"
slaves,"secondaries, workers, replicas, nodes","Avoid using the term `slave`; these suggestions are for the computer term, but there are better alternatives for other cases too"
blackhat,"unethical hacker, malicious actor",
whitehat,"ethical hacker, security researcher",
eskimo,Inuit,
eskimos,Inuits,
oriental,Asian person,
orientals,Asian people,
nonwhite,"person of color, people of color",
non white,"person of color, people of color",
ghetto,"projects, urban",
red indian,Native American,
pocahontas,Native American,
redskin,Native American,
red indians,Native American People,
redskins,Native American People,
animal spirit,"favorite, inspiration, personal interest, personality type",Avoid using terms that oversimplify the complex and varied beliefs of indigenous religions.
dream catcher,"favorite, inspiration, personal interest, personality type",Avoid using terms that oversimplify the complex and varied beliefs of indigenous religions.
spirit animal,"favorite, inspiration, personal interest, personality type",Avoid using terms that oversimplify the complex and varied beliefs of indigenous religions.
totem,"favorite, inspiration, personal interest, personality type",Avoid using terms that oversimplify the complex and varied beliefs of indigenous religions.
long time no hear,"I haven’t seen you in a long time, it’s been a long time",Avoid using phrases that implicitly mock people with limited knowledge of the English language.
long time no see,"I haven’t seen you in a long time, it’s been a long time",Avoid using phrases that implicitly mock people with limited knowledge of the English language.
Indian country,enemy territory,Avoid using phrases referring to the genocidal United States “Indian Removal” laws.
jump the reservation,"disobey, endure, object to, oppose, resist",Avoid using phrases referring to the genocidal United States “Indian Removal” laws.
off reserve,"disobey, endure, object to, oppose, resist",Avoid using phrases referring to the genocidal United States “Indian Removal” laws.
off the reservation,"disobey, endure, object to, oppose, resist",Avoid using phrases referring to the genocidal United States “Indian Removal” laws.
circle the wagons,defend,Avoid using phrases referring to colonial stereotypes regarding Native Americans.
on the warpath,defend,Avoid using phrases referring to colonial stereotypes regarding Native Americans.
too many chiefs,"too many chefs in the kitchen, too many cooks spoil the broth",Avoid using phrases referring to colonial stereotypes regarding Native Americans.
natives are restless,"dissatisfied, frustrated",Avoid using phrases referring to colonial stereotypes regarding indigenous peoples.
natives are becoming restless,"dissatisfied, frustrated",Avoid using phrases referring to colonial stereotypes regarding indigenous peoples.
natives are getting restless,"dissatisfied, frustrated",Avoid using phrases referring to colonial stereotypes regarding indigenous peoples.
natives are growing restless,"dissatisfied, frustrated",Avoid using phrases referring to colonial stereotypes regarding indigenous peoples.
pow wow,"conference, gathering, meeting","Avoid casually using this term, which refers to traditional indigenous celebration ceremonies that were banned by genocidal laws in the United States and Canada — Native people died fighting for this right."
powwow,"conference, gathering, meeting","Avoid casually using this term, which refers to traditional indigenous celebration ceremonies that were banned by genocidal laws in the United States and Canada — Native people died fighting for this right."
indian give,go back on one’s offer,Avoid using phrases referring to colonial stereotypes regarding Native Americans.
indian giver,go back on one’s offer,Avoid using phrases referring to colonial stereotypes regarding Native Americans.
pinoys,"Filipinos, Filipino people",
pinays,"Filipinos, Filipino people",
towel heads,"Arabs, Middle Eastern People",
latino,Latinx,"Whenever possible, try to be gender inclusive."
latina,Latinx,"Whenever possible, try to be gender inclusive."
japs,"Japanese person, Japanese people",
shlomo,Jewish person,
shyster,Jewish person,
hymie,Jewish person,
goyim,"a person who is not Jewish, not Jewish",
goyum,"a person who is not Jewish, not Jewish",
goy,"a person who is not Jewish, not Jewish",
spade,a Black person,
gyppo,"Nomad, Traveler, Roma, Romani","Gypsy is insensitive, use Roma or Romani. They’re not Egyptian as the name suggests."
gypsy,"Nomad, Traveler, Roma, Romani","Gypsy is insensitive, use Roma or Romani. They’re not Egyptian as the name suggests."
Gipsy,"Nomad, Traveler, Roma, Romani","Gypsy is insensitive, use Roma or Romani. They’re not Egyptian as the name suggests."
gyp,"Nomad, Traveler, Roma, Romani","Gypsy is insensitive, use Roma or Romani. They’re not Egyptian as the name suggests."
blacklist,"blocklist, wronglist, banlist, deny list",Replace racially-charged language with more accurate and inclusive words
black list,"blocklist, wronglist, banlist, deny list",Replace racially-charged language with more accurate and inclusive words
blacklisted,"blocklisted, wronglisted, banlisted, deny-listed",Replace racially-charged language with more accurate and inclusive words
blacklisting,"blocklisting, wronglisting, banlisting, deny-listing",Replace racially-charged language with more accurate and inclusive words
whitelist,"passlist, alrightlist, safelist, allow list",Replace racially-charged language with more accurate and inclusive words
white list,"passlist, alrightlist, safelist, allow list",Replace racially-charged language with more accurate and inclusive words
whitelisted,"passlisted, alrightlisted, safelisted, allow-listed",Replace racially-charged language with more accurate and inclusive words
whitelisting,"passlisting, alrightlisting, safelisting, allow-listing",Replace racially-charged language with more accurate and inclusive words
whitespace,"space, blank",Replace racially-charged language with more accurate and inclusive words
white space,"space, blank",Replace racially-charged language with more accurate and inclusive words
whitespaces,"space, blank",Replace racially-charged language with more accurate and inclusive words
white spaces,"space, blank",Replace racially-charged language with more accurate and inclusive words
primitive,"simple, indigenous, hunter-gatherer",Avoid using terms that imply a group has not changed over time and that they are inferior
savage,"simple, indigenous, hunter-gatherer",Avoid using terms that imply a group has not changed over time and that they are inferior
stone age,"simple, indigenous, hunter-gatherer",Avoid using terms that imply a group has not changed over time and that they are inferior
tribe,"society, community",Avoid using terms that make some groups sound inferior
sophisticated culture,complex culture,Avoid using terms that make some groups sound inferior. Replace “sophisticated” with a neutral term such as “complex”
sophisticated technology,complex technology,Avoid using terms that make some groups sound inferior. Replace “sophisticated” with a neutral term such as “complex”
bugreport,"bug report, snapshot","Avoid using `bugreport`, as the word `bugre` is a slur in Brazilian Portuguese"
grandfather clause,"legacy policy, legacy clause, deprecation policy",Avoid using phrases referring to racist United States “Jim Crow” laws.
grandfather policy,"legacy policy, legacy clause, deprecation policy",Avoid using phrases referring to racist United States “Jim Crow” laws.
grandfathering,deprecate,Avoid using phrases referring to racist United States “Jim Crow” laws.
grandfathered,"deprecated, legacy",Avoid using phrases referring to racist United States “Jim Crow” laws.
committed suicide,died by suicide,
completed suicide,died by suicide,
commit suicide,die by suicide,"Committing suicide is not successful/unsuccessful, that sends the wrong message"
complete suicide,die by suicide,"Committing suicide is not successful/unsuccessful, that sends the wrong message"
successful suicide,die by suicide,"Committing suicide is not successful/unsuccessful, that sends the wrong message"
suicide epidemic,rise in suicides,Using sensational words can cause copycat suicides or contagion
epidemic of suicides,rise in suicides,Using sensational words can cause copycat suicides or contagion
suicide pact,rise in suicides,Using sensational words can cause copycat suicides or contagion
failed suicide,"suicide attempt, attempted suicide",Attempted suicide should not be depicted as a failure
failed attempt,"suicide attempt, attempted suicide",Attempted suicide should not be depicted as a failure
suicide failure,"suicide attempt, attempted suicide",Attempted suicide should not be depicted as a failure
suicide note,a note from the deceased,
hang,"the app froze, the app stopped responding, the app stopped responding to events, the app became unresponsive","When describing the behavior of computer software, using the word “hanged” needlessly invokes the topic of death by self-harm or lynching.  Consider using the word “froze” or the phrase “stopped responding to events” or “became unresponsive” instead."
hanged,"the app froze, the app stopped responding, the app stopped responding to events, the app became unresponsive","When describing the behavior of computer software, using the word “hanged” needlessly invokes the topic of death by self-harm or lynching.  Consider using the word “froze” or the phrase “stopped responding to events” or “became unresponsive” instead."
